terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
88,东风公司,e,6号线,6:00,23:00,6:00,23:00,0
124,车城东路,e,6号线,6:02,23:02,6:03,23:03,1.297
125,江城大道,e,6号线,6:05,23:05,6:06,23:06,2.279
126,老关村,e,6号线,6:00,23:09,6:08,23:08,2.805
127,国博中心南,e,6号线,6:02,23:12,6:00,23:10,1.826
128,国博中心北,e,6号线,6:04,23:14,6:03,23:13,0.756
129,前进村,e,6号线,6:00,23:17,6:05,23:15,1.525
130,建港,e,6号线,6:02,23:19,6:07,23:18,0.953
131,马鹦路,e,6号线,6:04,23:21,6:00,23:20,1.478
106,钟家村,e,6号线,6:00,23:24,6:02,23:22,1.282
132,琴台,e,6号线,6:02,23:26,6:04,23:24,0.933
133,武胜路,e,6号线,6:05,23:30,6:06,23:27,1.857
134,汉正街,e,6号线,6:00,23:32,6:00,23:30,0.762
135,六渡桥,e,6号线,6:02,23:34,6:02,23:32,0.977
53,江汉路,e,6号线,6:04,23:36,6:04,23:34,0.851
11,大智路,e,6号线,6:07,23:39,6:06,23:36,1.553
136,苗栗路,e,6号线,6:09,23:41,6:00,23:40,0.804
76,香港路,e,6号线,6:00,23:44,6:02,23:42,0.864
137,三眼桥,e,6号线,6:02,23:46,6:04,23:44,1.024
138,唐家墩,e,6号线,6:04,23:48,6:00,23:47,0.953
139,石桥,e,6号线,6:06,23:51,6:02,23:49,1.477
140,杨汊湖,e,6号线,6:09,23:53,6:04,23:52,0.844
60,常青花园,e,6号线,6:00,23:56,6:06,23:54,2.11
141,轻工大学,e,6号线,6:02,23:58,6:00,23:57,0.961
142,园博园北,e,6号线,6:04,0:00,6:03,0:00,1.202
143,金银湖,e,6号线,6:07,0:03,6:06,0:04,1.748
144,金银湖公园,e,6号线,——,0:06,——,0:06,2.391
