terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
0,汉口北,a,1号线,6:00,23:00,6:00,23:00,0
1,滠口新城,a,1号线,6:00,23:04,6:02,23:02,3.41
2,藤子岗,a,1号线,6:02,23:06,6:05,23:05,1.12
3,堤角,a,1号线,6:04,23:08,6:00,23:07,1.025
4,新荣,a,1号线,6:00,23:11,6:03,23:09,1.165
5,丹水池,a,1号线,6:02,23:13,6:05,23:12,1.437
6,徐洲新村,a,1号线,6:05,23:16,6:00,23:14,1.525
7,二七路,a,1号线,6:00,23:18,6:01,23:16,0.795
8,头道街,a,1号线,6:01,23:20,6:00,23:19,0.915
9,黄浦路,a,1号线,6:00,23:22,6:02,23:22,1.203
10,三阳路,a,1号线,6:02,23:25,6:00,23:23,1.155
11,大智路,a,1号线,6:00,23:27,6:01,23:25,1.01
12,循礼门,a,1号线,6:00,23:30,6:03,23:27,1.083
13,友谊路,a,1号线,6:02,23:32,6:00,23:29,0.986
14,利济北路,a,1号线,6:00,23:34,6:02,23:32,0.888
15,崇仁路,a,1号线,6:02,23:36,6:00,23:34,0.88
16,硚口路,a,1号线,6:00,23:38,6:02,23:36,1.142
17,太平洋,a,1号线,6:02,23:40,6:00,23:39,1.045
18,宗关,a,1号线,6:00,23:43,6:02,23:41,1.58
19,汉西一路,a,1号线,6:02,23:45,6:04,23:43,0.921
20,古田四路,a,1号线,6:03,23:47,6:00,23:45,0.82
21,古田三路,a,1号线,6:00,23:49,6:02,23:48,0.795
22,古田二路,a,1号线,6:02,23:51,6:04,23:50,0.907
23,古田一路,a,1号线,6:04,23:53,6:00,23:52,1.518
24,舵落口,a,1号线,6:00,23:56,6:02,23:54,1.435
25,竹叶海,a,1号线,6:02,23:58,6:03,23:56,0.807
26,额头湾,a,1号线,6:03,0:00,6:06,23:59,0.944
27,五环大道,a,1号线,6:00,0:02,6:00,0:02,1.655
28,东吴大道,a,1号线,6:02,0:05,6:02,0:04,1.652
29,码头潭公园,a,1号线,6:00,0:07,6:04,0:06,1.037
30,三店,a,1号线,6:02,0:10,6:00,0:08,1.971
31,径河,a,1号线,——,0:12,——,0:12,1.11
