terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
32,佛祖岭,b,2号线,6:00,23:00,6:00,23:00,0
33,藏龙东街,b,2号线,6:02,23:02,6:00,23:06,1.021
34,秀湖,b,2号线,6:05,23:05,6:02,23:09,1.999
35,金融港北,b,2号线,6:00,23:07,6:00,23:12,1.603
36,黄龙山路,b,2号线,6:02,23:10,6:02,23:14,2.038
37,光谷火车站,b,2号线,6:00,23:13,6:00,23:19,1.059
38,佳园路,b,2号线,6:02,23:15,6:00,23:24,1.487
39,光谷大道,b,2号线,6:00,23:18,6:00,23:27,1.368
40,华中科技大学,b,2号线,6:02,23:20,6:00,23:29,0.817
41,珞雄路,b,2号线,6:04,23:22,6:00,23:32,1.009
42,光谷广场,b,2号线,6:00,23:24,6:00,23:35,0.794
43,杨家湾,b,2号线,6:02,23:27,6:00,23:37,1.317
44,虎泉,b,2号线,6:00,23:29,6:02,23:40,1.442
45,广埠屯,b,2号线,6:03,23:32,6:00,23:42,1.613
46,街道口,b,2号线,6:05,23:35,6:00,23:44,0.951
47,宝通寺,b,2号线,6:00,23:37,6:00,23:48,1.238
48,中南路,b,2号线,6:03,23:40,6:00,23:50,1.418
49,洪山广场,b,2号线,6:00,23:42,6:00,23:55,0.966
50,小龟山,b,2号线,6:02,23:45,6:00,23:58,1.168
51,螃蟹岬,b,2号线,6:00,23:47,6:02,23:59,0.93
52,积玉桥,b,2号线,6:03,23:50,6:00,0:02,1.579
53,江汉路,b,2号线,6:00,23:55,6:02,0:04,3.292
12,循礼门,b,2号线,6:02,23:57,6:00,0:07,0.897
54,中山公园,b,2号线,6:05,0:00,6:00,0:10,1.543
55,青年路,b,2号线,6:07,0:02,6:02,0:12,0.946
56,王家墩东,b,2号线,6:00,0:04,6:00,0:15,1.002
57,范湖,b,2号线,6:02,0:07,6:03,0:18,1.41
58,汉口火车站,b,2号线,6:00,0:09,6:00,0:20,1.216
59,长港路,b,2号线,6:02,0:12,6:00,0:22,1.407
60,常青花园,b,2号线,6:05,0:15,6:02,0:24,1.725
61,金银潭,b,2号线,6:00,0:17,6:00,0:26,1.092
62,常青城,b,2号线,6:03,0:20,6:02,0:29,2.012
63,宏图大道,b,2号线,6:07,0:25,6:00,0:31,2.886
64,盘龙城,b,2号线,6:00,0:29,6:02,0:33,3.946
65,巨龙大道,b,2号线,6:02,0:32,6:05,0:36,1.643
66,宋家岗,b,2号线,6:05,0:35,6:00,0:39,2.039
67,航空总部,b,2号线,6:08,0:38,6:02,0:42,1.427
68,天河机场,b,2号线,——,0:44,——,0:44,6.004
