terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
145,青龙山地铁小镇,f,7号线,6:00,23:00,6:00,23:00,0
146,纸坊大街,f,7号线,6:03,23:03,6:03,23:03,3.243
147,北华街,f,7号线,6:00,23:05,6:06,23:05,1.361
148,谭鑫培公园,f,7号线,6:02,23:08,6:00,23:08,1.61
149,江夏客厅,f,7号线,6:05,23:10,6:02,23:11,2
150,大花岭,f,7号线,6:00,23:14,6:04,23:13,2.507
151,新路村,f,7号线,6:03,23:17,6:07,23:16,3.438
152,野芷湖,f,7号线,6:00,23:21,6:00,23:19,2.391
153,板桥,f,7号线,6:02,23:23,6:04,23:24,1.717
154,湖工大,f,7号线,6:00,23:25,6:00,23:26,1.067
155,建安街,f,7号线,6:03,23:29,6:02,23:29,2.294
156,瑞安街,f,7号线,6:05,23:31,6:05,23:32,1.383
102,武昌火车站,f,7号线,6:00,23:34,6:00,23:34,1.86
157,小东门,f,7号线,6:02,23:37,6:02,23:36,1.374
51,螃蟹岬,f,7号线,6:04,23:39,6:05,23:39,0.859
158,新河街,f,7号线,6:00,23:41,6:00,23:42,1.141
159,湖北大学,f,7号线,6:03,23:44,6:03,23:45,2.067
160,徐家棚,f,7号线,6:00,23:47,6:05,23:47,1.591
10,三阳路,f,7号线,6:04,23:51,6:00,23:49,3.502
76,香港路,f,7号线,6:00,23:55,6:03,23:53,1.846
161,取水楼,f,7号线,6:02,23:57,6:00,23:56,1.458
56,王家墩东,f,7号线,6:00,23:59,6:03,0:00,1.164
79,武汉商务区,f,7号线,6:02,0:02,6:05,0:02,1.482
162,常码头,f,7号线,6:05,0:04,6:00,0:05,1.586
163,园博园,f,7号线,6:00,0:07,6:02,0:07,1.885
142,园博园北,f,7号线,——,0:10,——,0:10,2.137
