startcode,startname,endcode,endname,distance,route,sitenum,price
0,汉口北,52,积玉桥,19.605,0a1a2a3a4a5a6a7a8a9a10a11e53b52,13,6
0,汉口北,53,江汉路,16.313,0a1a2a3a4a5a6a7a8a9a10a11e53,12,5
0,汉口北,54,中山公园,17.386,0a1a2a3a4a5a6a7a8a9a10a11a12b54,13,5
0,汉口北,55,青年路,18.332,0a1a2a3a4a5a6a7a8a9a10a11a12b54b55,14,6
0,汉口北,56,王家墩东,18.218,0a1a2a3a4a5a6a7a8a9a10f76f161f56,13,6
0,汉口北,57,范湖,18.204,0a1a2a3a4a5a6a7a8a9a10f76c77c57,13,6
0,汉口北,58,汉口火车站,19.42,0a1a2a3a4a5a6a7a8a9a10f76c77c57b58,14,6
0,汉口北,59,长港路,20.827,0a1a2a3a4a5a6a7a8a9a10f76c77c57b58b59,15,6
0,汉口北,60,常青花园,22.004,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60,16,6
0,汉口北,61,金银潭,23.096,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60b61,17,6
0,汉口北,62,常青城,23.406,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b62,15,6
0,汉口北,63,宏图大道,20.52,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63,14,6
0,汉口北,64,盘龙城,24.466,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b64,15,7
0,汉口北,65,巨龙大道,26.109,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b64b65,16,7
0,汉口北,66,宋家岗,28.148,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b64b65b66,17,7
0,汉口北,67,航空总部,29.575,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b64b65b66b67,18,7
0,汉口北,68,天河机场,35.579,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63b64b65b66b67b68,19,8
0,汉口北,69,市民之家,19.756,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70c69,15,6
0,汉口北,70,后湖大道,18.089,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70,14,6
0,汉口北,71,兴业路,16.908,0a1a2a3a4a5a6a7a8a9g74c73c72c71,13,5
0,汉口北,72,二七小路,15.655,0a1a2a3a4a5a6a7a8a9g74c73c72,12,5
0,汉口北,73,罗家庄,14.896,0a1a2a3a4a5a6a7a8a9g74c73,11,5
0,汉口北,74,赵家条,14.014,0a1a2a3a4a5a6a7a8a9g74,10,5
0,汉口北,75,惠济二路,14.91,0a1a2a3a4a5a6a7a8a9g74c75,11,5
0,汉口北,76,香港路,15.596,0a1a2a3a4a5a6a7a8a9a10f76,11,5
0,汉口北,77,菱角湖路,16.528,0a1a2a3a4a5a6a7a8a9a10f76c77,12,5
0,汉口北,78,云飞路,19.089,0a1a2a3a4a5a6a7a8a9a10f76c77c57c78,14,6
0,汉口北,79,武汉商务区,19.7,0a1a2a3a4a5a6a7a8a9a10f76f161f56f79,14,6
0,汉口北,80,双墩,21.525,0a1a2a3a4a5a6a7a8a9a10f76f161f56f79c80,15,6
0,汉口北,81,王家湾,24.895,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81,19,7
0,汉口北,82,龙阳村,26.002,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82,20,7
0,汉口北,83,陶家岭,26.908,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83,21,7
0,汉口北,84,四新大道,28.267,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84,22,7
0,汉口北,85,汉阳客运站,29.195,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85,23,7
0,汉口北,86,三角湖,30.758,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85c86,24,7
0,汉口北,87,体育中心,32.212,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85c86c87,25,8
0,汉口北,88,东风公司,33.054,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85c86c87c88,26,8
0,汉口北,89,沌阳大道,34.503,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85c86c87c88c89,27,8
0,汉口北,90,武汉火车站,27.335,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95d94d93d92d91d90,20,7
