terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
164,梨园,g,8号线,6:00,23:00,6:00,23:00,0
97,岳家嘴,g,8号线,6:02,23:02,6:02,23:02,0.873
165,汪家墩,g,8号线,6:05,23:04,6:05,23:05,1.318
166,徐东,g,8号线,6:07,23:06,6:00,23:07,0.747
160,徐家棚,g,8号线,6:00,23:09,6:02,23:10,0.992
9,黄浦路,g,8号线,6:04,23:13,6:05,23:13,3.494
74,赵家条,g,8号线,6:00,23:16,6:00,23:16,1.419
167,竹叶山,g,8号线,6:02,23:19,6:04,23:20,1.394
168,中一路,g,8号线,6:05,23:21,6:07,23:22,1.574
169,塔子湖,g,8号线,6:00,23:24,6:00,23:24,1.648
63,宏图大道,g,8号线,6:03,23:27,6:02,23:27,1.89
170,金潭路,g,8号线,——,23:28,——,23:29,0.855
