terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
90,武汉火车站,d,4号线,6:00,23:00,6:00,23:00,0
91,杨春湖,d,4号线,6:01,23:01,6:02,23:02,0.81
92,工业四路,d,4号线,6:04,23:04,6:05,23:05,1.173
93,仁和路,d,4号线,6:00,23:06,6:00,23:07,1.634
94,园林路,d,4号线,6:02,23:09,6:00,23:10,1.333
95,罗家港,d,4号线,6:00,23:11,6:03,23:13,1.036
96,铁机路,d,4号线,6:02,23:13,6:00,23:15,1.171
97,岳家嘴,d,4号线,6:00,23:15,6:02,23:18,1.032
98,东亭,d,4号线,6:02,23:17,6:00,23:21,0.928
99,青鱼嘴,d,4号线,6:04,23:19,6:04,23:24,1.048
100,楚河汉街,d,4号线,6:00,23:22,6:00,23:28,1.226
49,洪山广场,d,4号线,6:03,23:24,6:02,23:30,1.077
48,中南路,d,4号线,6:00,23:26,6:00,23:33,0.966
101,梅苑小区,d,4号线,6:02,23:28,6:02,23:35,1.095
102,武昌火车站,d,4号线,6:00,23:31,6:00,23:37,0.9
103,首义路,d,4号线,6:03,23:33,6:02,23:39,0.897
104,复兴路,d,4号线,6:00,23:35,6:00,23:41,0.718
105,拦江路,d,4号线,6:00,23:39,6:02,23:43,3.278
106,钟家村,d,4号线,6:02,23:41,6:00,23:46,0.834
107,汉阳火车站,d,4号线,6:00,23:43,6:01,23:48,1.574
108,五里墩,d,4号线,6:02,23:46,6:00,23:52,1.012
109,七里庙,d,4号线,6:04,23:48,6:01,23:54,1.124
110,十里铺,d,4号线,6:00,23:50,6:04,23:56,1.204
81,王家湾,d,4号线,6:02,23:52,6:06,23:58,0.95
111,玉龙路,d,4号线,6:00,23:54,6:00,23:03,0.901
112,永安堂,d,4号线,6:02,23:56,6:02,0:00,1.243
113,孟家铺,d,4号线,6:00,23:59,6:04,0:05,1.479
114,黄金口,d,4号线,6:03,0:02,6:00,0:07,2.762
115,新天,d,4号线,6:00,0:06,6:02,0:09,2.75
116,集贤,d,4号线,6:02,0:08,6:00,0:11,1.367
117,知音,d,4号线,6:00,0:11,6:02,0:13,2.011
118,新农,d,4号线,6:03,0:14,6:04,0:16,1.82
119,凤凰路,d,4号线,6:00,0:16,6:00,0:18,1.453
120,蔡甸广场,d,4号线,6:03,0:19,6:02,0:20,2.148
121,临嶂大道,d,4号线,6:05,0:22,6:04,0:23,1.241
122,新庙村,d,4号线,6:00,0:25,6:00,0:25,2.081
123,柏林,d,4号线,——,0:26,——,0:26,1.417
