terminalcode,terminalname,linecode,linename,firsttime,lasttime,wfirsttime,wlasttime,adjacentdistance
63,宏图大道,c,3号线,6:00,23:00,6:00,23:00,0
69,市民之家,c,3号线,6:03,23:03,6:02,23:02,2.422
70,后湖大道,c,3号线,6:06,23:06,6:04,23:04,1.667
71,兴业路,c,3号线,6:00,23:08,6:07,23:07,1.181
72,二七小路,c,3号线,6:02,23:10,6:00,23:09,1.253
73,罗家庄,c,3号线,6:04,23:12,6:02,23:11,0.759
74,赵家条,c,3号线,6:06,23:14,6:04,23:13,0.882
75,惠济二路,c,3号线,6:08,23:16,6:06,23:15,0.896
76,香港路,c,3号线,6:00,23:18,6:08,23:18,0.934
77,菱角湖路,c,3号线,6:02,23:21,6:00,23:22,0.932
57,范湖,c,3号线,6:05,23:24,6:02,23:24,1.676
78,云飞路,c,3号线,6:00,23:26,6:04,23:27,0.885
79,武汉商务区,c,3号线,6:02,23:28,6:07,23:29,1.227
80,双墩,c,3号线,6:05,23:31,6:09,23:31,1.825
18,宗关,c,3号线,6:00,23:33,6:11,23:34,0.982
81,王家湾,c,3号线,6:04,23:37,6:00,23:36,2.531
82,龙阳村,c,3号线,6:06,23:40,6:02,23:38,1.107
83,陶家岭,c,3号线,6:00,23:42,6:04,23:41,0.906
84,四新大道,c,3号线,6:02,23:44,6:06,23:42,1.359
85,汉阳客运站,c,3号线,6:04,23:46,6:08,23:44,0.928
86,三角湖,c,3号线,6:00,23:48,6:10,23:47,1.563
87,体育中心,c,3号线,6:02,23:51,6:00,23:49,1.454
88,东风公司,c,3号线,6:04,23:53,6:02,23:52,0.842
89,沌阳大道,c,3号线,——,23:55,——,23:55,1.449
