station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
佛祖岭,6:00,23:00,0.0,0.0,天河机场,6:00,23:00,0.0,0.0,佛祖岭,6:30,23:00,0.0,0.0,天河机场,6:30,23:00,0.0,0.0
藏龙东街,6:02,23:02,1.0210000000000008,1.0210000000000008,航空总部,6:00,23:06,6.004,6.004,藏龙东街,6:32,23:02,1.0210000000000008,1.0210000000000008,航空总部,6:36,23:06,6.004,6.004
秀湖,6:05,23:05,1.9990000000000094,3.019999999999996,宋家岗,6:02,23:09,1.4269999999999996,7.431,秀湖,6:30,23:05,1.9990000000000094,3.019999999999996,宋家岗,6:30,23:09,1.4269999999999996,7.431
金融港北,6:00,23:07,1.6030000000000086,4.623000000000005,巨龙大道,6:00,23:12,2.0389999999999997,9.47,金融港北,6:32,23:07,1.6030000000000086,4.623000000000005,巨龙大道,6:33,23:12,2.0389999999999997,9.47
黄龙山路,6:02,23:10,2.0379999999999967,6.661000000000001,盘龙城,6:02,23:14,1.6429999999999971,11.113,黄龙山路,6:30,23:10,2.0379999999999967,6.661000000000001,盘龙城,6:30,23:14,1.6429999999999971,11.113
光谷火车站,6:00,23:13,1.0589999999999975,7.719999999999999,宏图大道,6:00,23:19,3.945999999999998,15.059,光谷火车站,6:32,23:13,1.0589999999999975,7.719999999999999,宏图大道,6:34,23:19,3.945999999999998,15.059
佳园路,6:02,23:15,1.487000000000009,9.207000000000008,常青城,6:00,23:24,2.8859999999999992,17.945,佳园路,6:30,23:15,1.487000000000009,9.207000000000008,常青城,6:30,23:24,2.8859999999999992,17.945
光谷大道,6:00,23:18,1.367999999999995,10.575000000000003,金银潭,6:00,23:27,2.0120000000000005,19.957,光谷大道,6:32,23:18,1.367999999999995,10.575000000000003,金银潭,6:33,23:27,2.0120000000000005,19.957
华中科技大学,6:02,23:20,0.8169999999999931,11.39200000000001,常青花园,6:00,23:29,1.0919999999999987,21.049,华中科技大学,6:30,23:20,0.8169999999999931,11.39200000000001,常青花园,6:30,23:29,1.0919999999999987,21.049
珞雄路,6:04,23:22,1.0090000000000003,12.400999999999996,长港路,6:00,23:32,1.7250000000000014,22.774,珞雄路,6:32,23:22,1.0090000000000003,12.400999999999996,长港路,6:32,23:32,1.7250000000000014,22.774
光谷广场,6:00,23:24,0.7939999999999969,13.195000000000007,汉口火车站,6:00,23:35,1.4069999999999965,24.181,光谷广场,6:30,23:24,0.7939999999999969,13.195000000000007,汉口火车站,6:30,23:35,1.4069999999999965,24.181
杨家湾,6:02,23:27,1.3170000000000073,14.512,范湖,6:00,23:37,1.216000000000001,25.397,杨家湾,6:32,23:27,1.3170000000000073,14.512,范湖,6:32,23:37,1.216000000000001,25.397
虎泉,6:00,23:29,1.441999999999993,15.953999999999994,王家墩东,6:02,23:40,1.4099999999999966,26.807,虎泉,6:30,23:29,1.441999999999993,15.953999999999994,王家墩东,6:30,23:40,1.4099999999999966,26.807
广埠屯,6:03,23:32,1.6129999999999995,17.566999999999993,青年路,6:00,23:42,1.0020000000000024,27.809,广埠屯,6:33,23:32,1.6129999999999995,17.566999999999993,青年路,6:32,23:42,1.0020000000000024,27.809
街道口,6:05,23:35,0.9509999999999934,18.518,中山公园,6:00,23:44,0.945999999999998,28.755,街道口,6:30,23:35,0.9509999999999934,18.518,中山公园,6:30,23:44,0.945999999999998,28.755
宝通寺,6:00,23:37,1.2379999999999995,19.756,循礼门,6:00,23:48,1.5429999999999993,30.298,宝通寺,6:32,23:37,1.2379999999999995,19.756,循礼门,6:33,23:48,1.5429999999999993,30.298
中南路,6:03,23:40,1.4179999999999922,21.173999999999992,江汉路,6:00,23:50,0.8969999999999985,31.195,中南路,6:30,23:40,1.4179999999999922,21.173999999999992,江汉路,6:30,23:50,0.8969999999999985,31.195
洪山广场,6:00,23:42,0.9660000000000082,22.14,积玉桥,6:00,23:55,3.2920000000000016,34.487,洪山广场,6:32,23:42,0.9660000000000082,22.14,积玉桥,6:30,23:55,3.2920000000000016,34.487
