station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
青龙山地铁小镇,6:00,23:00,0.0,0.0,园博园北,6:00,23:00,0.0,0.0,青龙山地铁小镇,6:30,23:00,0.0,0.0,园博园北,6:30,23:00,0.0,0.0
纸坊大街,6:03,23:03,3.242999999999995,3.242999999999995,园博园,6:03,23:03,2.137,2.137,纸坊大街,6:33,23:03,3.242999999999995,3.242999999999995,园博园,6:33,23:03,2.137,2.137
北华街,6:00,23:05,1.3610000000000042,4.603999999999999,常码头,6:06,23:05,1.8850000000000007,4.022,北华街,6:35,23:05,1.3610000000000042,4.603999999999999,常码头,6:36,23:05,1.8850000000000007,4.022
谭鑫培公园,6:02,23:08,1.6099999999999994,6.213999999999999,武汉商务区,6:00,23:08,1.5859999999999985,5.608,谭鑫培公园,6:30,23:08,1.6099999999999994,6.213999999999999,武汉商务区,6:38,23:08,1.5859999999999985,5.608
江夏客厅,6:05,23:10,2.0,8.213999999999999,王家墩东,6:02,23:11,1.482000000000001,7.09,江夏客厅,6:32,23:10,2.0,8.213999999999999,王家墩东,6:30,23:11,1.482000000000001,7.09
大花岭,6:00,23:14,2.507000000000005,10.721000000000004,取水楼,6:04,23:13,1.1639999999999997,8.254,大花岭,6:35,23:14,2.507000000000005,10.721000000000004,取水楼,6:32,23:13,1.1639999999999997,8.254
新路村,6:03,23:17,3.437999999999988,14.158999999999992,香港路,6:07,23:16,1.458000000000002,9.712,新路村,6:30,23:17,3.437999999999988,14.158999999999992,香港路,6:35,23:16,1.458000000000002,9.712
野芷湖,6:00,23:21,2.3909999999999982,16.550000000000004,三阳路,6:00,23:19,1.846,11.558,野芷湖,6:33,23:21,2.3909999999999982,16.550000000000004,三阳路,6:30,23:19,1.846,11.558
板桥,6:02,23:23,1.7169999999999987,18.267000000000003,徐家棚,6:04,23:24,3.5020000000000024,15.06,板桥,6:36,23:23,1.7169999999999987,18.267000000000003,徐家棚,6:34,23:24,3.5020000000000024,15.06
湖工大,6:00,23:25,1.0670000000000002,19.333999999999996,湖北大学,6:00,23:26,1.5909999999999975,16.651,湖工大,6:30,23:25,1.0670000000000002,19.333999999999996,湖北大学,6:30,23:26,1.5909999999999975,16.651
建安街,6:03,23:29,2.293999999999997,21.628,新河街,6:02,23:29,2.067,18.718,建安街,6:33,23:29,2.293999999999997,21.628,新河街,6:33,23:29,2.067,18.718
瑞安街,6:05,23:31,1.3830000000000027,23.011000000000003,螃蟹岬,6:05,23:32,1.1409999999999982,19.859,瑞安街,6:35,23:31,1.3830000000000027,23.011000000000003,螃蟹岬,6:35,23:32,1.1409999999999982,19.859
武昌火车站,6:00,23:34,1.8599999999999994,24.87100000000001,小东门,6:00,23:34,0.8589999999999947,20.718,武昌火车站,6:39,23:34,1.8599999999999994,24.87100000000001,小东门,6:37,23:34,0.8589999999999947,20.718
小东门,6:02,23:37,1.3740000000000023,26.244999999999997,武昌火车站,6:02,23:36,1.3740000000000023,22.092,小东门,6:30,23:37,1.3740000000000023,26.244999999999997,武昌火车站,6:30,23:36,1.3740000000000023,22.092
螃蟹岬,6:04,23:39,0.8589999999999947,27.104,瑞安街,6:05,23:39,1.8599999999999994,23.952,螃蟹岬,6:32,23:39,0.8589999999999947,27.104,瑞安街,6:33,23:39,1.8599999999999994,23.952
新河街,6:00,23:41,1.1409999999999982,28.244999999999997,建安街,6:00,23:42,1.3830000000000027,25.335,新河街,6:34,23:41,1.1409999999999982,28.244999999999997,建安街,6:35,23:42,1.3830000000000027,25.335
湖北大学,6:03,23:44,2.067,30.312000000000005,湖工大,6:03,23:45,2.293999999999997,27.629,湖北大学,6:37,23:44,2.067,30.312000000000005,湖工大,6:38,23:45,2.293999999999997,27.629
徐家棚,6:00,23:47,1.5909999999999975,31.903000000000002,板桥,6:05,23:47,1.0670000000000002,28.696,徐家棚,6:30,23:47,1.5909999999999975,31.903000000000002,板桥,6:40,23:47,1.0670000000000002,28.696
三阳路,6:04,23:51,3.5020000000000024,35.405,野芷湖,6:00,23:49,1.7169999999999987,30.413,三阳路,6:34,23:51,3.5020000000000024,35.405,野芷湖,6:30,23:49,1.7169999999999987,30.413
香港路,6:00,23:55,1.846,37.251,新路村,6:03,23:53,2.3909999999999982,32.804,香港路,6:30,23:55,1.846,37.251,新路村,6:33,23:53,2.3909999999999982,32.804
取水楼,6:02,23:57,1.458000000000002,38.709,大花岭,6:00,23:56,3.437999999999988,36.242,取水楼,6:32,23:57,1.458000000000002,38.709,大花岭,6:30,23:56,3.437999999999988,36.242
王家墩东,6:00,23:59,1.1639999999999997,39.873,江夏客厅,6:03,0:00,2.507000000000005,38.749,王家墩东,6:34,23:59,1.1639999999999997,39.873,江夏客厅,6:33,0:00,2.507000000000005,38.749
武汉商务区,6:02,0:02,1.482000000000001,41.355,谭鑫培公园,6:05,0:02,2.0,40.749,武汉商务区,6:37,0:02,1.482000000000001,41.355,谭鑫培公园,6:35,0:02,2.0,40.749
常码头,6:05,0:04,1.5859999999999985,42.941,北华街,6:00,0:05,1.6099999999999994,42.359,常码头,6:30,0:04,1.5859999999999985,42.941,北华街,6:30,0:05,1.6099999999999994,42.359
园博园,6:00,0:07,1.8850000000000007,44.826,纸坊大街,6:02,0:07,1.3610000000000042,43.72,园博园,6:32,0:07,1.8850000000000007,44.826,纸坊大街,6:32,0:07,1.3610000000000042,43.72
园博园北,——,0:10,2.137,46.963,青龙山地铁小镇,——,0:10,3.242999999999995,46.963,园博园北,——,0:10,2.137,46.963,青龙山地铁小镇,——,0:10,3.242999999999995,46.963
