station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
金台,6:00,21:30,0.0,0.0,后湖大道,6:00,22:30,0.0,0.0,金台,6:30,21:30,0.0,0.0,后湖大道,6:30,22:30,0.0,0.0
施岗,6:03,21:32,1.9590000000000032,1.9590000000000032,百步亭花园路,6:02,22:32,0.985,0.985,施岗,6:32,21:32,1.9590000000000032,1.9590000000000032,百步亭花园路,6:32,22:32,0.985,0.985
阳逻开发区,6:06,21:36,3.2319999999999993,5.1910000000000025,新荣客运站,6:04,22:34,1.7590000000000001,2.744,阳逻开发区,6:36,21:36,3.2319999999999993,5.1910000000000025,新荣客运站,6:34,22:34,1.7590000000000001,2.744
阳逻,6:00,21:39,1.4600000000000009,6.651000000000003,幸福湾,6:07,22:37,2.041999999999999,4.786,阳逻,6:38,21:39,1.4600000000000009,6.651000000000003,幸福湾,6:37,22:37,2.041999999999999,4.786
武生院,6:03,21:42,2.786999999999999,9.438000000000002,朱家河,6:11,22:41,2.350999999999999,7.137,武生院,6:30,21:42,2.786999999999999,9.438000000000002,朱家河,6:40,22:41,2.350999999999999,7.137
军民村,6:05,21:44,1.0180000000000007,10.456000000000003,谌家矶,6:00,22:43,0.881000000000002,8.018,军民村,6:32,21:44,1.0180000000000007,10.456000000000003,谌家矶,6:30,22:43,0.881000000000002,8.018
沙口,6:09,21:49,3.7850000000000037,14.241000000000007,青龙,6:03,22:47,3.1640000000000015,11.182,沙口,6:36,21:49,3.7850000000000037,14.241000000000007,青龙,6:33,22:47,3.1640000000000015,11.182
武湖,6:00,21:53,4.628,18.869000000000007,高车,6:06,22:50,2.2940000000000005,13.476,武湖,6:41,21:53,4.628,18.869000000000007,高车,6:36,22:50,2.2940000000000005,13.476
高车,6:03,21:57,2.2300000000000004,21.099,武湖,6:10,22:53,2.2300000000000004,15.706,高车,6:30,21:57,2.2300000000000004,21.099,武湖,6:39,22:53,2.2300000000000004,15.706
青龙,6:00,22:00,2.2940000000000005,23.393000000000004,沙口,6:00,22:57,4.628,20.334,青龙,6:33,22:00,2.2940000000000005,23.393000000000004,沙口,6:30,22:57,4.628,20.334
谌家矶,6:03,22:04,3.1640000000000015,26.557000000000002,军民村,6:04,23:02,3.7850000000000037,24.119,谌家矶,6:37,22:04,3.1640000000000015,26.557000000000002,军民村,6:34,23:02,3.7850000000000037,24.119
朱家河,6:00,22:06,0.881000000000002,27.438000000000002,武生院,6:06,23:04,1.0180000000000007,25.137,朱家河,6:39,22:06,0.881000000000002,27.438000000000002,武生院,6:36,23:04,1.0180000000000007,25.137
幸福湾,6:03,22:09,2.350999999999999,29.789000000000005,阳逻,6:10,23:08,2.786999999999999,27.924,幸福湾,6:30,22:09,2.350999999999999,29.789000000000005,阳逻,6:40,23:08,2.786999999999999,27.924
新荣客运站,6:00,22:12,2.041999999999999,31.831000000000003,阳逻开发区,6:00,23:10,1.4600000000000009,29.384,新荣客运站,6:33,22:12,2.041999999999999,31.831000000000003,阳逻开发区,6:30,23:10,1.4600000000000009,29.384
百步亭花园路,6:02,22:15,1.7590000000000001,33.59,施岗,6:03,23:14,3.2319999999999993,32.616,百步亭花园路,6:36,22:15,1.7590000000000001,33.59,施岗,6:33,23:14,3.2319999999999993,32.616
后湖大道,——,22:17,0.985,34.575,金台,——,23:16,1.9590000000000032,34.575,后湖大道,——,22:17,0.985,34.575,金台,——,23:16,1.9590000000000032,34.575
