station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
梨园,6:00,23:00,0.0,0.0,金潭路,6:00,23:00,0.0,0.0,梨园,6:30,23:00,0.0,0.0,金潭路,6:30,23:00,0.0,0.0
岳家嘴,6:02,23:02,0.8730000000000011,0.8730000000000011,宏图大道,6:02,23:02,0.855,0.855,岳家嘴,6:32,23:02,0.8730000000000011,0.8730000000000011,宏图大道,6:32,23:02,0.855,0.855
汪家墩,6:05,23:04,1.3180000000000014,2.190999999999999,塔子湖,6:05,23:05,1.8900000000000001,2.745,汪家墩,6:34,23:04,1.3180000000000014,2.190999999999999,塔子湖,6:35,23:05,1.8900000000000001,2.745
徐东,6:07,23:06,0.7469999999999999,2.937999999999999,中一路,6:00,23:07,1.6479999999999997,4.393,徐东,6:36,23:06,0.7469999999999999,2.937999999999999,中一路,6:30,23:07,1.6479999999999997,4.393
徐家棚,6:00,23:09,0.9920000000000009,3.9300000000000033,竹叶山,6:02,23:10,1.5739999999999998,5.967,徐家棚,6:30,23:09,0.9920000000000009,3.9300000000000033,竹叶山,6:32,23:10,1.5739999999999998,5.967
黄浦路,6:04,23:13,3.4939999999999998,7.424000000000003,赵家条,6:05,23:13,1.3940000000000001,7.361,黄浦路,6:34,23:13,3.4939999999999998,7.424000000000003,赵家条,6:35,23:13,1.3940000000000001,7.361
赵家条,6:00,23:16,1.4189999999999987,8.843000000000002,黄浦路,6:00,23:16,1.4189999999999987,8.78,赵家条,6:30,23:16,1.4189999999999987,8.843000000000002,黄浦路,6:30,23:16,1.4189999999999987,8.78
竹叶山,6:02,23:19,1.3940000000000001,10.237,徐家棚,6:04,23:20,3.4939999999999998,12.274,竹叶山,6:32,23:19,1.3940000000000001,10.237,徐家棚,6:34,23:20,3.4939999999999998,12.274
中一路,6:05,23:21,1.5739999999999998,11.811000000000002,徐东,6:07,23:22,0.9920000000000009,13.266,中一路,6:35,23:21,1.5739999999999998,11.811000000000002,徐东,6:36,23:22,0.9920000000000009,13.266
塔子湖,6:00,23:24,1.6479999999999997,13.459000000000001,汪家墩,6:00,23:24,0.7469999999999999,14.013,塔子湖,6:30,23:24,1.6479999999999997,13.459000000000001,汪家墩,6:30,23:24,0.7469999999999999,14.013
宏图大道,6:03,23:27,1.8900000000000001,15.349,岳家嘴,6:02,23:27,1.3180000000000014,15.331,宏图大道,6:33,23:27,1.8900000000000001,15.349,岳家嘴,6:32,23:27,1.3180000000000014,15.331
金潭路,——,23:28,0.855,16.204,梨园,——,23:29,0.8730000000000011,16.204,金潭路,——,23:28,0.855,16.204,梨园,——,23:29,0.8730000000000011,16.204
