station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
汉口北,6:00,23:00,0.0,0.0,径河,6:00,23:00,0.0,0.0,汉口北,6:30,23:00,0.0,0.0,径河,6:30,23:00,0.0,0.0
滠口新城,6:00,23:04,3.4099999999999966,3.4099999999999966,三店,6:02,23:02,1.11,1.11,滠口新城,6:34,23:04,3.4099999999999966,3.4099999999999966,三店,6:32,23:02,1.11,1.11
藤子岗,6:02,23:06,1.1200000000000045,4.530000000000001,码头潭公园,6:05,23:05,1.9709999999999996,3.081,藤子岗,6:36,23:06,1.1200000000000045,4.530000000000001,码头潭公园,6:35,23:05,1.9709999999999996,3.081
堤角,6:04,23:08,1.0250000000000057,5.555000000000007,东吴大道,6:00,23:07,1.037,4.118,堤角,6:30,23:08,1.0250000000000057,5.555000000000007,东吴大道,6:30,23:07,1.037,4.118
新荣,6:00,23:11,1.1649999999999991,6.719999999999999,五环大道,6:03,23:09,1.6519999999999992,5.77,新荣,6:32,23:11,1.1649999999999991,6.719999999999999,五环大道,6:32,23:09,1.6519999999999992,5.77
丹水池,6:02,23:13,1.4370000000000047,8.157000000000004,额头湾,6:05,23:12,1.6550000000000011,7.425,丹水池,6:35,23:13,1.4370000000000047,8.157000000000004,额头湾,6:35,23:12,1.6550000000000011,7.425
徐洲新村,6:05,23:16,1.5249999999999986,9.681999999999995,竹叶海,6:00,23:14,0.9440000000000008,8.369,徐洲新村,6:30,23:16,1.5249999999999986,9.681999999999995,竹叶海,6:30,23:14,0.9440000000000008,8.369
二七路,6:00,23:18,0.7950000000000017,10.476999999999997,舵落口,6:01,23:16,0.8070000000000022,9.176,二七路,6:31,23:18,0.7950000000000017,10.476999999999997,舵落口,6:31,23:16,0.8070000000000022,9.176
头道街,6:01,23:20,0.9149999999999991,11.392000000000003,古田一路,6:00,23:19,1.4349999999999987,10.611,头道街,6:33,23:20,0.9149999999999991,11.392000000000003,古田一路,6:34,23:19,1.4349999999999987,10.611
黄浦路,6:00,23:22,1.203000000000003,12.594999999999999,古田二路,6:02,23:22,1.5180000000000007,12.129,黄浦路,6:30,23:22,1.203000000000003,12.594999999999999,古田二路,6:30,23:22,1.5180000000000007,12.129
三阳路,6:02,23:25,1.1550000000000011,13.75,古田三路,6:00,23:23,0.907,13.036,三阳路,6:32,23:25,1.1550000000000011,13.75,古田三路,6:31,23:23,0.907,13.036
大智路,6:00,23:27,1.009999999999998,14.759999999999998,古田四路,6:01,23:25,0.7949999999999982,13.831,大智路,6:34,23:27,1.009999999999998,14.759999999999998,古田四路,6:33,23:25,0.7949999999999982,13.831
循礼门,6:00,23:30,1.0829999999999984,15.842999999999996,汉西一路,6:03,23:27,0.8200000000000003,14.651,循礼门,6:30,23:30,1.0829999999999984,15.842999999999996,汉西一路,6:35,23:27,0.8200000000000003,14.651
友谊路,6:02,23:32,0.9860000000000042,16.829,宗关,6:00,23:29,0.9209999999999994,15.572,友谊路,6:32,23:32,0.9860000000000042,16.829,宗关,6:30,23:29,0.9209999999999994,15.572
利济北路,6:00,23:34,0.8879999999999981,17.717,太平洋,6:02,23:32,1.5800000000000054,17.152,利济北路,6:34,23:34,0.8879999999999981,17.717,太平洋,6:32,23:32,1.5800000000000054,17.152
崇仁路,6:02,23:36,0.8800000000000026,18.597,硚口路,6:00,23:34,1.0450000000000017,18.197,崇仁路,6:36,23:36,0.8800000000000026,18.597,硚口路,6:34,23:34,1.0450000000000017,18.197
硚口路,6:00,23:38,1.142000000000003,19.738999999999997,崇仁路,6:02,23:36,1.142000000000003,19.339,硚口路,6:30,23:38,1.142000000000003,19.738999999999997,崇仁路,6:37,23:36,1.142000000000003,19.339
太平洋,6:02,23:40,1.0450000000000017,20.784,利济北路,6:00,23:39,0.8800000000000026,20.219,太平洋,6:32,23:40,1.0450000000000017,20.784,利济北路,6:30,23:39,0.8800000000000026,20.219
宗关,6:00,23:43,1.5800000000000054,22.363999999999997,友谊路,6:02,23:41,0.8879999999999981,21.107,宗关,6:35,23:43,1.5800000000000054,22.363999999999997,友谊路,6:32,23:41,0.8879999999999981,21.107
汉西一路,6:02,23:45,0.9209999999999994,23.285000000000004,循礼门,6:04,23:43,0.9860000000000042,22.093,汉西一路,6:30,23:45,0.9209999999999994,23.285000000000004,循礼门,6:34,23:43,0.9860000000000042,22.093
古田四路,6:03,23:47,0.8200000000000003,24.104999999999997,大智路,6:00,23:45,1.0829999999999984,23.176,古田四路,6:31,23:47,0.8200000000000003,24.104999999999997,大智路,6:30,23:45,1.0829999999999984,23.176
