station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance,station,first_train,last_train,interval,distance
左岭,6:00,23:00,0.0,0.0,光谷火车站,6:00,23:00,0.0,0.0,左岭,6:30,23:00,0.0,0.0,光谷火车站,6:30,23:00,0.0,0.0
未来三路,6:02,23:02,1.4439999999999955,1.4439999999999955,湖口,6:03,23:03,1.468,1.468,未来三路,6:32,23:02,1.4439999999999955,1.4439999999999955,湖口,6:33,23:03,1.468,1.468
未来一路,6:04,23:04,2.0289999999999964,3.472999999999999,光谷同济医院,6:05,23:05,1.9399999999999995,3.408,未来一路,6:34,23:04,2.0289999999999964,3.472999999999999,光谷同济医院,6:35,23:05,1.9399999999999995,3.408
长岭山,6:07,23:07,2.1530000000000022,5.626000000000001,光谷生物园,6:08,23:08,1.4200000000000008,4.828,长岭山,6:37,23:07,2.1530000000000022,5.626000000000001,光谷生物园,6:38,23:08,1.4200000000000008,4.828
光谷七路,6:10,23:10,2.8019999999999996,8.428,光谷四路,6:10,23:10,1.0749999999999993,5.903,光谷七路,6:40,23:10,2.8019999999999996,8.428,光谷四路,6:40,23:10,1.0749999999999993,5.903
豹澥,6:12,23:13,1.0670000000000002,9.495000000000001,光谷五路,6:12,23:12,1.2870000000000008,7.19,豹澥,6:43,23:13,1.0670000000000002,9.495000000000001,光谷五路,6:42,23:12,1.2870000000000008,7.19
光谷六路,6:00,23:15,1.1330000000000027,10.628,光谷六路,6:14,23:14,0.9260000000000002,8.116,光谷六路,6:30,23:15,1.1330000000000027,10.628,光谷六路,6:44,23:14,0.9260000000000002,8.116
光谷五路,6:01,23:17,0.9260000000000002,11.554,豹澥,6:00,23:17,1.1330000000000027,9.249,光谷五路,6:31,23:17,0.9260000000000002,11.554,豹澥,6:30,23:17,1.1330000000000027,9.249
光谷四路,6:04,23:19,1.2870000000000008,12.841,光谷七路,6:02,23:19,1.0670000000000002,10.316,光谷四路,6:34,23:19,1.2870000000000008,12.841,光谷七路,6:32,23:19,1.0670000000000002,10.316
光谷生物园,6:06,23:21,1.0749999999999993,13.915999999999999,长岭山,6:05,23:22,2.8019999999999996,13.118,光谷生物园,6:36,23:21,1.0749999999999993,13.915999999999999,长岭山,6:35,23:22,2.8019999999999996,13.118
光谷同济医院,6:09,23:24,1.4200000000000008,15.336000000000002,未来一路,6:08,23:25,2.1530000000000022,15.271,光谷同济医院,6:39,23:24,1.4200000000000008,15.336000000000002,未来一路,6:38,23:25,2.1530000000000022,15.271
湖口,6:11,23:26,1.9399999999999995,17.276,未来三路,6:10,23:28,2.0289999999999964,17.3,湖口,6:41,23:26,1.9399999999999995,17.276,未来三路,6:40,23:28,2.0289999999999964,17.3
光谷火车站,——,23:28（到达）,1.468,18.744,左岭,——,23:29（到达）,1.4439999999999955,18.744,光谷火车站,——,23:28（到达）,1.468,18.744,左岭,——,23:29（到达）,1.4439999999999955,18.744
