distance,price,route,begin_id,end_id,time
15.408,5,0a9g167,1,168,27
16.982,5,0a9g168,1,169,30
18.63,6,0a9g169,1,170,32
21.375,6,0a9g170,1,171,36
56.15,10,0a9g160f51b37h171,1,172,90
54.706,10,0a9g160f51b37h172,1,173,87
52.677,10,0a9g160f51b37h173,1,174,85
50.524,10,0a9g160f51b37h174,1,175,82
47.722,9,0a9g160f51b37h175,1,176,79
46.655,9,0a9g160f51b37h176,1,177,77
45.522,9,0a9g160f51b37h177,1,178,74
44.596,9,0a9g160f51b37h178,1,179,72
43.309,9,0a9g160f51b37h179,1,180,72
42.234,9,0a9g160f51b37h180,1,181,70
40.814,9,0a9g160f51b37h181,1,182,67
38.874,8,0a9g160f51b37h182,1,183,65
52.664,10,0a9g74c70i183,1,184,67
50.705,10,0a9g74c70i184,1,185,65
47.473,9,0a9g74c70i185,1,186,62
46.013,9,0a9g74c70i186,1,187,60
43.226,9,0a9g74c70i187,1,188,58
42.208,9,0a9g74c70i188,1,189,56
38.423,8,0a9g74c70i189,1,190,53
33.795,8,0a9g74c70i190,1,191,51
31.565,7,0a9g74c70i191,1,192,49
29.271,7,0a9g74c70i192,1,193,47
26.107,7,0a9g74c70i193,1,194,45
25.226,7,0a9g74c70i194,1,195,43
22.875,6,0a9g74c70i195,1,196,40
20.833,6,0a9g74c70i196,1,197,38
19.074,6,0a9g74c70i197,1,198,36
3.41,2,1a0,2,1,4
0,0,1,2,2,0
1.12,2,1a2,2,3,4
2.145,2,1a3,2,4,6
3.31,2,1a4,2,5,8
4.747,3,1a5,2,6,11
6.272,3,1a6,2,7,13
7.067,3,1a7,2,8,16
7.982,3,1a8,2,9,18
9.185,4,1a9,2,10,20
10.34,4,1a10,2,11,22
11.35,4,1a11,2,12,25
12.433,5,1a12,2,13,27
13.419,5,1a13,2,14,30
14.307,5,1a14,2,15,32
15.187,5,1a15,2,16,34
16.329,5,1a16,2,17,36
17.374,5,1a17,2,18,38
18.954,6,1a18,2,19,40
19.875,6,1a19,2,20,43
20.695,6,1a20,2,21,45
21.49,6,1a21,2,22,47
22.397,6,1a22,2,23,49
23.915,6,1a23,2,24,51
25.35,7,1a24,2,25,53
26.157,7,1a25,2,26,56
27.101,7,1a26,2,27,58
28.756,7,1a27,2,28,60
30.408,7,1a28,2,29,62
31.445,7,1a29,2,30,65
33.416,8,1a30,2,31,67
34.526,8,1a31,2,32,70
41.716,9,1a9g160f51b32,2,33,72
40.695,9,1a9g160f51b33,2,34,70
38.696,8,1a9g160f51b34,2,35,67
37.093,8,1a9g160f51b35,2,36,65
35.055,8,1a9g160f51b36,2,37,62
33.996,8,1a9g160f51b37,2,38,60
32.509,8,1a9g160f51b38,2,39,58
31.141,7,1a9g160f51b39,2,40,56
30.324,7,1a9g160f51b40,2,41,53
29.315,7,1a9g160f51b41,2,42,51
28.521,7,1a9g160f51b42,2,43,49
27.204,7,1a9g160f51b43,2,44,47
25.762,7,1a9g160f51b44,2,45,45
24.149,7,1a9g160f51b45,2,46,43
23.198,6,1a9g160f51b46,2,47,40
21.96,6,1a9g160f51b47,2,48,38
20.542,6,1a9g160f51b48,2,49,36
19.576,6,1a9g160f51b49,2,50,34
18.408,6,1a9g160f51b50,2,51,32
17.478,5,1a9g160f51,2,52,30
16.195,5,1a11e53b52,2,53,30
12.903,5,1a11e53,2,54,27
13.976,5,1a12b54,2,55,30
14.922,5,1a12b55,2,56,32
14.808,5,1a10f56,2,57,30
14.794,5,1a10f76c57,2,58,30
16.01,5,1a10f76c57b58,2,59,32
17.417,5,1a10f76c57b59,2,60,34
18.594,6,1a10f76e60,2,61,36
19.686,6,1a10f76e60b61,2,62,38
19.996,6,1a9g63b62,2,63,34
17.11,5,1a9g63,2,64,32
21.056,6,1a9g63b64,2,65,34
22.699,6,1a9g63b65,2,66,36
24.738,7,1a9g63b66,2,67,38
26.165,7,1a9g63b67,2,68,40
32.169,8,1a9g63b68,2,69,43
16.346,5,1a9g74c69,2,70,34
14.679,5,1a9g74c70,2,71,32
13.498,5,1a9g74c71,2,72,30
12.245,5,1a9g74c72,2,73,27
11.486,4,1a9g74c73,2,74,25
10.604,4,1a9g74,2,75,22
11.5,4,1a9g74c75,2,76,25
12.186,5,1a10f76,2,77,25
13.118,5,1a10f76c77,2,78,27
15.679,5,1a10f76c78,2,79,32
16.29,5,1a10f79,2,80,32
18.115,6,1a10f79c80,2,81,34
21.485,6,1a18c81,2,82,43
22.592,6,1a18c82,2,83,45
23.498,6,1a18c83,2,84,47
24.857,7,1a18c84,2,85,49
25.785,7,1a18c85,2,86,51
27.348,7,1a18c86,2,87,53
28.802,7,1a18c87,2,88,56
29.644,7,1a18c88,2,89,58
31.093,7,1a18c89,2,90,60
23.925,6,1a9g97d90,2,91,45
23.115,6,1a9g97d91,2,92,43
21.942,6,1a9g97d92,2,93,40
20.308,6,1a9g97d93,2,94,38
18.975,6,1a9g97d94,2,95,36
17.939,5,1a9g97d95,2,96,34
16.768,5,1a9g97d96,2,97,32
15.736,5,1a9g97,2,98,30
16.664,5,1a9g97d98,2,99,32
17.712,5,1a9g97d99,2,100,34
18.938,6,1a9g97d100,2,101,36
20.611,6,1a9g160f102d101,2,102,36
19.711,6,1a9g160f102,2,103,34
20.608,6,1a9g160f102d103,2,104,36
21.326,6,1a9g160f102d104,2,105,38
19.117,6,1a11e106d105,2,106,40
18.283,6,1a11e106,2,107,38
19.857,6,1a11e106d107,2,108,40
20.869,6,1a11e106d108,2,109,43
21.993,6,1a11e106d109,2,110,45
22.435,6,1a18c81d110,2,111,45
22.386,6,1a18c81d111,2,112,45
23.629,6,1a18c81d112,2,113,47
25.108,7,1a18c81d113,2,114,49
27.87,7,1a18c81d114,2,115,51
30.62,7,1a18c81d115,2,116,53
31.987,7,1a18c81d116,2,117,56
33.998,8,1a18c81d117,2,118,58
35.818,8,1a18c81d118,2,119,60
37.271,8,1a18c81d119,2,120,62
39.419,8,1a18c81d120,2,121,65
40.66,9,1a18c81d121,2,122,67
42.741,9,1a18c81d122,2,123,70
44.158,9,1a18c81d123,2,124,72
30.941,7,1a18c88e124,2,125,60
28.908,7,1a11e125,2,126,53
26.103,7,1a11e126,2,127,51
24.277,7,1a11e127,2,128,49
23.521,6,1a11e128,2,129,47
21.996,6,1a11e129,2,130,45
21.043,6,1a11e130,2,131,43
19.565,6,1a11e131,2,132,40
17.35,5,1a11e132,2,133,36
15.493,5,1a11e133,2,134,34
14.731,5,1a11e134,2,135,32
13.754,5,1a11e135,2,136,30
12.154,5,1a11e136,2,137,27
13.21,5,1a10f76e137,2,138,27
14.163,5,1a10f76e138,2,139,30
15.64,5,1a10f76e139,2,140,32
16.484,5,1a10f76e140,2,141,34
19.555,6,1a10f76e141,2,142,38
20.757,6,1a10f76e142,2,143,40
22.505,6,1a10f76e143,2,144,43
24.896,7,1a10f76e144,2,145,45
44.582,9,1a9g160f145,2,146,60
41.339,9,1a9g160f146,2,147,58
39.978,8,1a9g160f147,2,148,56
38.368,8,1a9g160f148,2,149,53
36.368,8,1a9g160f149,2,150,51
33.861,8,1a9g160f150,2,151,49
30.423,7,1a9g160f151,2,152,47
28.032,7,1a9g160f152,2,153,45
26.315,7,1a9g160f153,2,154,43
25.248,7,1a9g160f154,2,155,40
22.954,6,1a9g160f155,2,156,38
21.571,6,1a9g160f156,2,157,36
18.337,6,1a9g160f157,2,158,32
16.337,5,1a9g160f158,2,159,27
14.27,5,1a9g160f159,2,160,25
12.679,5,1a9g160,2,161,22
13.644,5,1a10f161,2,162,27
17.876,5,1a10f162,2,163,34
19.761,6,1a10f163,2,164,36
16.609,5,1a9g164,2,165,32
14.418,5,1a9g165,2,166,27
13.671,5,1a9g166,2,167,25
11.998,4,1a9g167,2,168,25
13.572,5,1a9g168,2,169,27
15.22,5,1a9g169,2,170,30
17.965,5,1a9g170,2,171,34
52.74,10,1a9g160f51b37h171,2,172,87
51.296,10,1a9g160f51b37h172,2,173,85
49.267,9,1a9g160f51b37h173,2,174,82
47.114,9,1a9g160f51b37h174,2,175,79
44.312,9,1a9g160f51b37h175,2,176,77
43.245,9,1a9g160f51b37h176,2,177,74
42.112,9,1a9g160f51b37h177,2,178,72
41.186,9,1a9g160f51b37h178,2,179,72
39.899,8,1a9g160f51b37h179,2,180,70
38.824,8,1a9g160f51b37h180,2,181,67
37.404,8,1a9g160f51b37h181,2,182,65
35.464,8,1a9g160f51b37h182,2,183,62
49.254,9,1a9g74c70i183,2,184,65
47.295,9,1a9g74c70i184,2,185,62
44.063,9,1a9g74c70i185,2,186,60
